🙂,🙂,맛있어요 
첫방문도 아닌데 올때마다 맛이 특별한 곳!식전빵부터 음식들도 다 너무 맛있다 ㅜㅠ 부채살스테이크 특히 강추...! 특별한 날에도 오지만 아무날 아닐때도 와서 맛있게먹고 리프레쉬하기 좋음~ 맛있어서 싹싹비워버린 그릇~! 강추 재방문의사 10000%🫶🏻,첫방문도 아닌데 올때마다 맛이 특별한 곳!식전빵부터 음식들도 다 너무 맛있다 ㅜㅠ 부채살스테이크 특히 강추...! 특별한 날에도 오지만 아무날 아닐때도 와서 맛있게먹고 리프레쉬하기 좋음~ 맛있어서 싹싹비워버린 그릇~! 강추 재방문의사 10000%🫶🏻,짱 맛있어용🥰🥰🥰🥰🥰
파닭은 역시 이정수치킨!! 파닭강정으로 먹는거 추천해주셔서 정말 맛있게 잘 먹었어요~ 직원분들이 밝고 친절하셔서 더 맛있게 먹었네용~~ ,어릴적부터 냄새에 이끌러 주기적으로방문 역시 맛있네요 자식 낳으면 데리고 가고 싶어요,반찬이며 식사류 고기류 다 맛있어요친절하고 다시오고싶음
반찬도 정갈하고 포장도 빨리나와있었어요:) 체해서 속안좋았는데 맛있네요!! 양도많고 밥도 염도도 선택가능해서 너무좋아요..본죽은 사랑~~,병원 진료 후에 죽사려고 갔는데포장하고 나오는데 까지 걸린시간은 27분인데주차시간을 10분을 넣어주셨네요..환자 태우고 있어서 전화하고 실랑이 하기 싫어서 결제하고 나왔는데  주차 요청하고 넣어주셨다고 하시고 10분 넣어주신거에.. 좀 당황스럽네요,완탕면 좋아해서 자주 방문해요~~직원분들 친절하시고 매장도 깨끗해서 좋아요
추천받아서 와봤는데 진짜 맛있어요 🫶가격도 저렴하고 음식도 맛있고 단골이 될 것 같은 🤍같이 주시는 빵도 맛있고 분위기도 넘 좋아요 ✨잘 먹고 갑니당!!,하남미사점에있는앨빈쿠치나. 매장분위기도너무나좋고음식도너무나맛있게먹었어요식전빵도나와서너무너무조아요,친절해요 
가까운데 특별한 메뉴가 있네요,가까운데 특별한 메뉴가 있네요,보통맛입니다. 0.5단계가 있어서 초딩과 먹을 수 있어 좋았습니다. 가성비가 좋습니다. 각각 한그릇씩 음료수까지 추가했는데도 2만 1천원 나왔네요.
하남 벌봉돈까스 맛있어요. 모듬 11000원스프. 국. 돈까스 깨끗하고 맛있어요.,⭐️⭐️⭐️⭐️,배달로 시켜먹었는데 먹을만해요다음에도 또 이용할듯 합니다
첫째가 하도 스키타고 싶다고해서 방문하게된 스노우플렉스~~!!!!첫째와 둘째는 예상대로 처음인데도 적응을 잘함.별로 기대하지 않은 셋째와 와이프도 "오~~? 자세좀 나오네?"너무 설명을 잘해주신 서리라 강사님께 진심으로 감사합니다~~!!!내친김에 서리라 강사님께 추가 강습 신청했더니20프로로 할인까지~~!! ❤️ 🤍 💟 🧡 앞으로 잘 부탁드립니다~~^^,스키장과 다른 점중 가장 큰 점은반응 속도가 느리다는 겁니다.버티고 기다리는데 최소 3초~ 5초 걸리는데그렇기 때문에 본인이 자세가 엉망이라면 어느 부분에서 엉망인지 정교하게 자세 교정하기엔 이만한 장소가 없겠다 싶었습니다.아이 셋 데리고 왔었는데 둘이 타고 셋째가 타며 번갈아 탔습니다. 아이들 연령차이로 번갈아 타야해서 시간적으로 아쉬운 느낌이었는데 실제로 타보니 체력 소모가 스키장보다 더 심해요.인조잔디느낌이라 약간 푹신해요.실제 탈때는 날을 세워 엣지로 타면 안되고베이스로 타면서 감을 익혀야해요.생각보다 더 즐거웠어요.시즌 기다리기 아쉬워하는 남편의 기분 달래줄겸 가자한건데 가길잘했다는 생각이 드네요ㅎㅎ선생님도 무척 친절하고 좋았습니다.다음에 또 방문할게요!,피자를 좋아하는 아이들을 위해 피자미남에서 마늘갈비와 미남콤비네이션 하프앤 하프 주문후 찾아왔어요아이들이 정말 맛있게 잘 먹어주어 행복하내요금액도 비싸지 않고 토핑도 왕창 들어있어서 꿀맛이였답니다.크러스트로 피자엣지를 주문하니 더 잘먹는거 같아요아이들을 위해 모든 다 해주고  싶은 엄마는 자주 주문하고자 합니다.사장님 너무 친절하시고 맛있게 잘 먹었어요사장님 번창하세요다른메뉴도 맛보고 싶을정도로 참 맛있었답니다
하남 시내에 나갈 일이 있으면 부러 점심 시간을 맞추어간다. 스시오지상에서 점심을 먹기 위해서다. 우연히 찾아가 먹은 점심은 그야말로 만족 그 자체. 깔끔한데다 맛도 좋고 주인장 내외는 친절하고 성실함이 음식에 식당 곳곳에 묻어난데다 가성비는 최고다.  한번 가보면 누구나 단골이 될터. 이젠 못가게.되면 이렇게 배달을 시켜 먹을 정도로 매력이.있다.,하남 시내에 나갈 일이 있으면 부러 점심 시간을 맞추어간다. 스시오지상에서 점심을 먹기 위해서다. 우연히 찾아가 먹은 점심은 그야말로 만족 그 자체. 깔끔한데다 맛도 좋고 주인장 내외는 친절하고 성실함이 음식에 식당 곳곳에 묻어난데다 가성비는 최고다.  한번 가보면 누구나 단골이 될터. 이젠 못가게.되면 이렇게 배달을 시켜 먹을 정도로 매력이.있다.,언제나 너무맛있는 신대포 불갤비집 ㅎㅎ친절한 사장님은 덤이조~^^꼬들살부터 양념 껍데기 어느하나 맛없는게 없는 언제나 잘먹고 옵니다 번창하세요^^
코드쌀국수s스몰인데도 양 많음~쌀국수 러버로서 진짜 쌀국수에 엄격한편인데이 집 맛있음!!특히 카오팟카파오무쌉 - 얘 진짜 1등임,👍👍👍👍👍 진심 맛집,우연히 들어왔는데 너무너무너무 잘왔네요.저렴한 가격은 물론이거니와 고기랑 사이드메뉴 하나하나 다 맛있구여!사장님 진짜 친절하셔서 ... 아이들 패드받침도 알아서 가져다 주시고 아무튼 정말 요즘 드물게 친절함에 감동했습니다!앞으로 자주 올것같아요!! 찜-
.,굿,좋아요
하남돼지집은 스타필드점으로 가세용고기가 진짜 잘구워주고 넘 친절하십니당하남돼지집스타필드점 삼겹살은 역시 입에서 사르르 녹네요 명이나물까지 곁들이면 입안이 황홀해요그리고 고추장찌개가 또 의외로 존맛탱입니다 ㅋ,하남 삼겹살 맛집 😆 하남돼지집은 믿고 먹을만한 브랜드니까용! 삼겹살은 집에서 구워먹기 부담스러워서 저는 삼겹땡길땐 하남돼지집으로 와요 ㅎㅎ 직접 구워주셔서 넘 편하고 고기도 질이 좋구요! 오늘은 김볶이 땡겨서 시켰는데 넘 맛있어요ㅠ 오천원의 행복ㅋㅋㅋ,음식 가짓수가 정말 많아요 그런데 사람들도 정말 많습니다 11시-12시가 피크인 것 같아요. 이 시간대 피하면 조용하게 식사할 수 있을 것 같습니다 🍱💛 반찬이 정말 다양해서 선택과 집중해서 드셔야 합니닼ㅋㅋㅋ 배가 부르니까요!!
저랑 남편이 정한 최애 카페🐶🥬사장님도 친절하고 음료도 싸고 맛있어요~이번에 같은 건물로 이사 오면서 꾸준히 방문중인데 아담하고 방문한 강아지들도 순해서 들렸다가기 넘 좋아요!,요즘 쿠키가 빠진 곳애견카페치고 음료도 넘 저렴하고 좋아요 상주하는 배추도 완죤 착해요ㅠㅠ,언제나 실패없는 오모로이 근처에 이런업장이 있는것에 감사합니다 위스키와 찰떡인 메뉴들로 잘어울립니다. -숙성사시미오모로이의 숙성사시미는 반드시 시켜야 합니다 회를 먹지않는 사람 특유의 비린맛과 질긴식감에 못먹는 사람들도 이거 먹음 이거만 찾습니다. 손님들 특성도 항상 기억해서 내주시고 만족스러웠습니다. -꽃게오뎅나베 매콤하게 부탁드리고 우동사리추가해서 먹음 극락입니다. 사진은 없어요 정신차리니 뱃속에 있었습니다. -쿠시카츠 가지튀김은 나오자마자 바로 간장소스 직행하면됩니다. 표고튀김도 맛있어요-전복내장파스타 같이간 형은 이거 소스까지 다먹었습니다 감칠맛 최고에요 전복내장향이 진하고 버섯크림파스타는 트러플향이 납니다추가로 장어튀김 장어구이도 맛있어요 사실 다맛있어요전복내장파스타 
국물도 진하고 맛있어요여자둘이 먹기엔 양이 엄청 많았어요남은거 육수 추가해서 포장해주셔서  집에서도 맛있게 잘먹었습니다 :)김치랑 찰밥도 완전 엄지척!!!!조만간 몸보신하러 또 갈께요~~~,가족들이 맛있다고 하네요🐤,안짜요 너무 맘에 들어요! :) 자주 오겠습니다.
노부부와 아들이 함께 운영하는 곳으로 너~~무 친절하세요^^민물매운탕 좋아하는데 멀리 북한강 남한강변까지 갈 필요없어요냄새 전혀 없고 직접 담그신 장으로 양념해서 자극적이지 않고 구수하니 시원해서 맛나요메기도 항상 실하고 먹고나면 몸보신되는듯 해요,너무 만족스러운 식사였어요! 사장님과 아드님 모두 너무 친절하셨고 매운탕은 잡내도 하나도 안났습니다. 메기도 살이 통통하고 국물이 진해서 맛있었습니다. 서비스+맛 모두 만족스러워서 기분좋은 식사했어요! 숨은 매운탕 맛집입니다!!! ,반미 맛있어요! 바게트도 바삭하고 안에 들어간 무생채같은게 정말 취향저격..❤️ 사장님 친절하세용! 스파이시 치킨 맛있어요!
늦은시간에 가도 친절하게 해주셔서 좋았어요,한창 먹고있는 테이블들이 있었는데도 10시 반부터 주방 마감한다하고 홀 치우면서 눈치줌. 홈페이지 영업시간(라스트오더: 1시 / 2시까지) 보고 간건데 시간 수정해야 할듯. ,몽땅반반세트 구입했어요. 사장님 친절하시고 음식도 금방 나옵니다. 감자피만두가 매력있었어요~
뼈해장국도 먹고뼈칼국수도 있는 낙원할머니 뼛칼입니다든든한 한끼 먹을수 있는  뼈해장국뼈들도 크고 살밥도 많이 붙어 있어요아이들 같이 오셔도 돈까스 만두도 있어서가족외식으로도 좋은 곳이네요,뼈칼국수랑 우거지해장국 미니돈까스 시켰어요!돈가스 기대 안했는데 너무 맛있더라구요♡가게도 깔끔하고 양도 많고 무엇보다 맛있어요!!특히 배추김치..♡♡,음식 푸짐하고 맛나요 술 안주 식사도 굿입니다
굿,굳,하남 맛집미사에 새로생기는 어느추어탕 집을 가도다시 여기로 와요~~~!!!돌고돌아 다시 여기찐맛집!!
워낙 좋아하는 곳이라 주말이면 아이들과 가는곳이네요맛있고 먹고싶은거 먹을 수 있고 편히 먹을 수 있는곳이라 자주갑니당,마라탕샹궈 너무 맛있어요다른곳보다 여기가 마라맛이 더 강하고 찐하네요꿔바로우도 달고 맛나더라구요 ㅎ,잘먹고 갑니다 ㅎㅎ
처음 매장방문해서 먹고가려다 너무 불친절하셔서 기분만 상하고 가네요..,요즘 안비싼게 없죠야채김밥 3800원이에요부추가 들어있어서 좋아요~포장해서 갈때 단무지 김치 셀프포장 이에요^^,맛있어요
제가 옻닭을 참 좋아합니다.아마도 30년이상 옻닭맛집을 찾아다녔는데.여긴 최고예요.넘버1.저희는 2명이가서 솔직히 저는 배고프지 않았어요.헌데 처음에 나온 김치가 포기김치 반절이 똬~악^^빛깔이 장난 아닙니다.먹으면서 연신 이집은 김치맛집이야~하면서도 먹었고 옻닭가슴살을 김에 김치에 참쌀밥을 싸먹으면 맛있다고 하셔서 그렇게 먹었는데(첫번째 방문 손님이라고 찹쌀밥은 서비스로 주셨어요^^)와~정말맛있네요옻닭이 제대로 익으면 옻색이 약간 거무스름한데 완전 맛있는 색 그리고 옆에 국물을 데펴서 먹을수 있게 해주셨는데 국물이 진한게 먹으면서 맛있는쌉싸름 몸에 좋겠다.막 느껴져요둘이 가슴살 조금빼놓고 다먹고 포장해 왔습니다.국물도 리필해주셔서 잘포장해왔고 원액옻 사와서 하루에 한잔씩 먹어보려고 해요.이집 칭찬해요,삼계탕 김치전 먹음!김치전 맛나여,맛있고 차분하게 한끼먹기 좋아요
메뉴 구성이 좋고 조용히 얘기하기 좋아요!,소곱창 너무 맛있어요!! 8시 이전에 와서 라면도 서비스로 받았어요~~다음에 또 올게여,푸짐하고 넘 맛있는데사진이 없네요~~참고하세용 ㅎㅎ볶은 가지에 달칼한 양념소스맛도리에유♡.♡
육회는 광장시장 정통의 미사로오신다래육회죠 진짜 광장시장안가도되요  다래육회로당장 가세요오픈초부터 단골 멤버입니다   친절한사장님과 착한가격 소고기무국은..또얼마나맛있게욥 ❤️,매장에서 먹고 너무 맛있어서 포장해서 먹었는데(사진은 못 찍^^;)역시나 맛있었어요,꼬마김밥이 있어 아이들과 방문하기 좋고 언제 방문해도 청결하고 친절한 곳입니다. 특히나 아이들과 나들이갈때 여기 꼬마김밥 포장해가면 한끼 해결하기 좋아요. 꽃게 수제비였나? 얼큰한거 였는데 해장으로 딱이네요. 꽃게도 실하고 국물이 시원합니다. 
여기 납곱새가 하남에서 제일 맛잇네여,집까지는 배달이 안돼서 지하철타고 포장해왔어요! 정말 맛있네요 낙지도 실하고 양념도 달기도 딱 적당하고 계속 들어가는 맛이에요 저희가족은 국물떠먹는걸 좋아해서 집에 있던 쌀뜨물을 종이컵 반에서 한컵정도 넣었더니 간도 딱맞고 너무 좋았어용 그리고 서비스로 주신 매운양념 넣으니까 더 맛있어요 부모님도 한입드시자마자 맥주꺼내오시더군요 ㅋㅋㅋㅋ라면에 볶음밥까지 클리어했어요 그리고 일단 주방도 넘 깨끗하고 친절하게 요청사항도 들어주셔서 감사했습니다ㅠ 부모님이 고기를 안드셔서 혹시나 여쭤봤더니 흔쾌히 들어주시고 낙지와 새우를 더 챙겨주셔서 넘 감사했습니다! 담에 또 포장하러 갈게용,우육면도 먹고 우육탕반도 먹을수 있어 좋아요~!배불리 먹고갑니다.
고즈넉하면서도 한옥카페 분위기로 사람들 많이 없는 시간에 다녀와서 조용해서 더 좋았어요. 커피맛도 좋고 베이커리도 많이 달지 않고 맛있었어요.,하남 드라이브중 만난 한채당베이커리한채당 한식당과 카페를 같이 운영 하시더라구요 매장은 분리되어 있습니다~고즈넉한 한옥풍카페로 야외도 실내도 좋더라구요실내는 2층까지 있고 루프탑은 캠핑 분위기에요맛있는 베이커리류 고민끝에 골라주고ㅋㅋ요기 빙수가 맛있대서 빙수까지 주문!베이커리 다 맛있고! 빙수가 넘 가득이라 질질 흘리고먹었지만ㅋㅋ 양도 많고 맛있어요😆카페가 이뻐서 사진찍기에도 딱 좋아요^^,친절하고 매장이 넓어 단체모임하기 좋아요음식도 맛나요
